oracle_campaign,rank,enabler_name,status,source_field,source_quote,non_obvious,note
Brazil MST — narrative reframe around organic food (2010s–present),2,coalition,relied_on,"Coalition size, type, and presence of non-obvious allies","formal coalition includes La Via Campesina (founding member), 50+ organisations via PASSOMG in Minas Gerais, and university research partnerships (UFRGS and others)",no,International movement membership plus academic partnerships.
Brazil MST — narrative reframe around organic food (2010s–present),3,institutional_political_backing,not_relied_on,Strength of opposition,,no,No stable political backing. Record notes agribusiness had 'full presidential support during 2019-2022' and Lula's 'limited room to manoeuvre in Congress'.
Brazil MST — narrative reframe around organic food (2010s–present),4,financial_resources,not_relied_on,Strength of opposition,,no,No funder named. Record states opposition 'financial and political resources substantially exceed those of the MST'.
Brazil MST — narrative reframe around organic food (2010s–present),5,expert_technical_validation,relied_on,"Coalition size, type, and presence of non-obvious allies",academics publishing peer-reviewed work validating agroecological claims,no,Explicit validation language - the clearest instance of this category in the whole set.
Brazil MST — narrative reframe around organic food (2010s–present),6,non_obvious_ally_note,context_only,"List B — Coalition size, type, and presence of non-obvious allies","Source 9 (The Nation/Bevins) explicitly documents the progressive urban cultural elite as a deliberately cultivated non-obvious ally — described as ""the result of a carefully laid plan.""",yes,"REVIEWED, left unscored. A cultivated constituency, not a named institution. Scoring it as institutional backing would stretch the category. NOT SCORED. Retained for the deep dive so the ally detail is not lost."
Greenpeace Detox My Fashion campaign (2011–2021),1,regulatory_legal_position,not_relied_on,Legal/regulatory landscape,no regulatory framework directly governed chemical use in global textile supply chains; campaign bypassed regulatory levers entirely and operated through reputational/market pressure,no,"DIRECTION: explicit absence. Record states regulatory change was 'the unachieved goal at window close' - an objective, not a resource."
Greenpeace Detox My Fashion campaign (2011–2021),2,coalition,relied_on,"Coalition size, type, and presence of non-obvious allies",primarily Greenpeace-led with consumer mobilisation and eventual ZDHC brand signatories,no,Weakest coalition in the set: single-organisation led. Record: 'no prominent non-obvious allies outside the sustainability/environmental space'.
Greenpeace Detox My Fashion campaign (2011–2021),3,institutional_political_backing,not_relied_on,Legal/regulatory landscape,,no,None. Campaign 'bypassed regulatory levers entirely'.
Greenpeace Detox My Fashion campaign (2011–2021),4,financial_resources,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,"No funder named, though Greenpeace's own institutional resources are implied and not stated."
Greenpeace Detox My Fashion campaign (2011–2021),5,expert_technical_validation,relied_on,"List B — Coalition size, type, and presence of non-obvious allies","Source 8 (ChemSec) functions in the locked set as an independent technical body providing external validation — its role is not that of a co-campaigner but of a credible third-party assessor, which is a distinct coalition function",no,"List B is explicit that this is a distinct structural function, not coalition membership."
